8-QAM,,32-QAM,,128-QAM,,OFDM,,LTE
0.408248290463863 - 0.408248290463863i,,0.223606797749979 - 1.11803398874990i,,-0.552157630374233 - 0.773020682523926i,,-0.552157630374233 - 0.773020682523926i,,0.0148616989472781 + 0.0238901675776952i
-0.408248290463863 - 0.408248290463863i,,-0.223606797749979 - 1.11803398874990i,,0.110431526074847 + 0.773020682523926i,,0.110431526074847 + 0.773020682523926i,,0.0107537080195912 - 0.00314071169797155i
-1.22474487139159 + 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,0.110431526074847 - 0.331294578224540i,,0.110431526074847 - 0.331294578224540i,,-0.0134515524432052 + 0.00586078606523737i
-0.408248290463863 - 0.408248290463863i,,-0.670820393249937 - 1.11803398874990i,,-1.21474678682331 - 0.773020682523926i,,-1.21474678682331 - 0.773020682523926i,,0.00182013474163625 + 0.0180542286534696i
-0.408248290463863 + 0.408248290463863i,,1.11803398874990 + 0.670820393249937i,,-1.21474678682331 + 0.110431526074847i,,-1.21474678682331 + 0.110431526074847i,,0.000860822228720212 - 0.00700589275058349i
1.22474487139159 + 0.408248290463863i,,-0.670820393249937 - 0.670820393249937i,,-1.21474678682331 + 0.331294578224540i,,-1.21474678682331 + 0.331294578224540i,,-0.0265811687275105 - 0.00726405509309025i
-1.22474487139159 - 0.408248290463863i,,-0.670820393249937 + 1.11803398874990i,,-0.552157630374233 + 0.110431526074847i,,-0.552157630374233 + 0.110431526074847i,,-0.0226079948038478 + 0.000552225322142887i
-0.408248290463863 + 0.408248290463863i,,-0.670820393249937 + 0.223606797749979i,,0.110431526074847 - 0.552157630374233i,,0.110431526074847 - 0.552157630374233i,,-0.0218897448638365 - 0.0198004719375245i
1.22474487139159 - 0.408248290463863i,,-0.670820393249937 - 0.670820393249937i,,0.110431526074847 - 0.993883734673619i,,0.110431526074847 - 0.993883734673619i,,-0.0373260596899275 - 0.0186143888342237i
-0.408248290463863 - 0.408248290463863i,,1.11803398874990 + 0.223606797749979i,,-0.331294578224540 + 0.773020682523926i,,-0.331294578224540 + 0.773020682523926i,,-0.0216540468180133 - 0.000381776037479338i
1.22474487139159 + 0.408248290463863i,,0.670820393249937 + 0.223606797749979i,,0.993883734673619 + 0.110431526074847i,,0.993883734673619 + 0.110431526074847i,,0.00161386951394817 - 0.00495890812842167i
1.22474487139159 + 0.408248290463863i,,0.223606797749979 - 1.11803398874990i,,1.21474678682331 - 0.773020682523926i,,1.21474678682331 - 0.773020682523926i,,0.000434024318721818 - 0.00634699716351810i
0.408248290463863 - 0.408248290463863i,,0.223606797749979 + 0.223606797749979i,,-0.552157630374233 + 0.993883734673619i,,-0.552157630374233 + 0.993883734673619i,,0.00137683259095247 + 0.00737450429514026i
0.408248290463863 - 0.408248290463863i,,0.670820393249937 - 1.11803398874990i,,1.21474678682331 - 0.331294578224540i,,1.21474678682331 - 0.331294578224540i,,0.00664713459640256 + 0.00424771529052635i
0.408248290463863 + 0.408248290463863i,,1.11803398874990 - 0.670820393249937i,,0.993883734673619 - 0.552157630374233i,,0.993883734673619 - 0.552157630374233i,,-0.0107414824302558 - 0.00761018333898066i
0.408248290463863 + 0.408248290463863i,,0.670820393249937 + 1.11803398874990i,,-0.552157630374233 + 0.110431526074847i,,-0.552157630374233 + 0.110431526074847i,,-0.0277145203118238 + 0.00438444422866325i
-0.408248290463863 - 0.408248290463863i,,-0.223606797749979 - 1.11803398874990i,,0.331294578224540 + 0.993883734673619i,,0.331294578224540 + 0.993883734673619i,,-0.0112876517306931 + 0.0153088092644075i
0.408248290463863 - 0.408248290463863i,,0.670820393249937 + 0.223606797749979i,,-0.110431526074847 + 0.552157630374233i,,-0.110431526074847 + 0.552157630374233i,,0.00222459551432735 + 0.00472859460642800i
-1.22474487139159 - 0.408248290463863i,,-0.223606797749979 + 1.11803398874990i,,-0.331294578224540 + 0.331294578224540i,,-0.331294578224540 + 0.331294578224540i,,0.00162254344837091 + 0.0152869536157052i
1.22474487139159 + 0.408248290463863i,,0.223606797749979 - 0.223606797749979i,,-1.21474678682331 + 0.110431526074847i,,-1.21474678682331 + 0.110431526074847i,,0.0258377156826541 + 0.0297197736554477i
-0.408248290463863 - 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,-0.773020682523926 - 0.331294578224540i,,-0.773020682523926 - 0.331294578224540i,,0.0306168114546370 + 0.00607747665114714i
1.22474487139159 - 0.408248290463863i,,1.11803398874990 - 0.670820393249937i,,-0.773020682523926 + 0.331294578224540i,,-0.773020682523926 + 0.331294578224540i,,-0.00803192971537182 + 0.00299811552749016i
-0.408248290463863 + 0.408248290463863i,,-1.11803398874990 - 0.670820393249937i,,1.21474678682331 - 0.331294578224540i,,1.21474678682331 - 0.331294578224540i,,-0.0165728151840597 + 0.0203474482600592i
1.22474487139159 + 0.408248290463863i,,-1.11803398874990 + 0.670820393249937i,,0.552157630374233 + 1.21474678682331i,,0.552157630374233 + 1.21474678682331i,,-0.0187598474094649 - 0.00188088970049325i
-0.408248290463863 - 0.408248290463863i,,-0.670820393249937 + 1.11803398874990i,,0.552157630374233 + 0.110431526074847i,,0.552157630374233 + 0.110431526074847i,,-0.0486649248720887 - 0.00289636757095406i
-0.408248290463863 + 0.408248290463863i,,-1.11803398874990 - 0.670820393249937i,,-0.110431526074847 - 0.552157630374233i,,-0.110431526074847 - 0.552157630374233i,,-0.0282249481181459 + 0.0239857546081565i
-1.22474487139159 - 0.408248290463863i,,1.11803398874990 - 0.223606797749979i,,-0.331294578224540 - 0.110431526074847i,,-0.331294578224540 - 0.110431526074847i,,0.00889884691369029 - 0.000137023885475594i
0.408248290463863 - 0.408248290463863i,,-0.223606797749979 - 0.670820393249937i,,0.773020682523926 - 0.552157630374233i,,0.773020682523926 - 0.552157630374233i,,-0.00233979005510931 - 0.0157745783763991i
1.22474487139159 + 0.408248290463863i,,0.223606797749979 + 0.223606797749979i,,0.331294578224540 + 0.331294578224540i,,0.331294578224540 + 0.331294578224540i,,0.0119832206634399 + 0.00136823682804646i
-0.408248290463863 - 0.408248290463863i,,0.223606797749979 - 1.11803398874990i,,-0.773020682523926 + 0.773020682523926i,,-0.773020682523926 + 0.773020682523926i,,0.0329130128807277 - 0.0264975913120374i
0.408248290463863 - 0.408248290463863i,,-0.670820393249937 + 1.11803398874990i,,-0.773020682523926 - 0.110431526074847i,,-0.773020682523926 - 0.110431526074847i,,-0.000632010591070018 - 0.0411597538922310i
0.408248290463863 + 0.408248290463863i,,0.670820393249937 - 1.11803398874990i,,-0.110431526074847 + 0.773020682523926i,,-0.110431526074847 + 0.773020682523926i,,-0.00622950405774577 - 0.00798263442219797i
-0.408248290463863 + 0.408248290463863i,,1.11803398874990 + 0.670820393249937i,,0.110431526074847 - 0.993883734673619i,,0.110431526074847 - 0.993883734673619i,,0.0138414267757729 - 0.0112319615713724i
-1.22474487139159 + 0.408248290463863i,,1.11803398874990 - 0.670820393249937i,,0.331294578224540 + 1.21474678682331i,,0.331294578224540 + 1.21474678682331i,,-0.00919986686600406 - 0.0150509953862011i
0.408248290463863 + 0.408248290463863i,,-1.11803398874990 - 0.670820393249937i,,1.21474678682331 - 0.331294578224540i,,1.21474678682331 - 0.331294578224540i,,-0.0122340191373839 + 0.0154124294261754i
1.22474487139159 + 0.408248290463863i,,-0.670820393249937 - 0.670820393249937i,,-0.331294578224540 + 0.552157630374233i,,-0.331294578224540 + 0.552157630374233i,,0.00889190522849622 + 0.00259884467813693i
0.408248290463863 + 0.408248290463863i,,-1.11803398874990 - 0.670820393249937i,,0.110431526074847 + 0.993883734673619i,,0.110431526074847 + 0.993883734673619i,,-0.0115807791201939 - 0.0254607936115866i
-1.22474487139159 - 0.408248290463863i,,0.670820393249937 + 1.11803398874990i,,-0.552157630374233 - 0.110431526074847i,,-0.552157630374233 - 0.110431526074847i,,-0.0192004729447325 - 0.0174466743551413i
0.408248290463863 - 0.408248290463863i,,0.670820393249937 - 1.11803398874990i,,1.21474678682331 + 0.331294578224540i,,1.21474678682331 + 0.331294578224540i,,0.00801864937541296 - 0.0287524389118746i
0.408248290463863 + 0.408248290463863i,,-1.11803398874990 + 0.223606797749979i,,0.993883734673619 - 0.110431526074847i,,0.993883734673619 - 0.110431526074847i,,0.0106434600311562 - 0.0445914180088515i
-1.22474487139159 + 0.408248290463863i,,-0.670820393249937 + 0.223606797749979i,,-1.21474678682331 - 0.110431526074847i,,-1.21474678682331 - 0.110431526074847i,,0.0176729319890753 - 0.0176105806787221i
-1.22474487139159 - 0.408248290463863i,,-0.223606797749979 - 0.670820393249937i,,-0.331294578224540 - 0.773020682523926i,,-0.331294578224540 - 0.773020682523926i,,0.0483815162005918 + 0.000610559478683258i
1.22474487139159 + 0.408248290463863i,,0.223606797749979 - 1.11803398874990i,,-0.331294578224540 + 0.552157630374233i,,-0.331294578224540 + 0.552157630374233i,,0.0438063945504294 - 0.000731454848865945i
-1.22474487139159 + 0.408248290463863i,,0.223606797749979 + 0.223606797749979i,,0.331294578224540 - 0.993883734673619i,,0.331294578224540 - 0.993883734673619i,,0.0179091895792527 + 0.0191896212825807i
0.408248290463863 - 0.408248290463863i,,-0.670820393249937 + 1.11803398874990i,,0.331294578224540 + 1.21474678682331i,,0.331294578224540 + 1.21474678682331i,,0.00858176009064137 + 0.0252194520417924i
1.22474487139159 - 0.408248290463863i,,-1.11803398874990 + 0.223606797749979i,,0.552157630374233 + 0.110431526074847i,,0.552157630374233 + 0.110431526074847i,,-0.0167089843322177 + 0.00285764607635976i
-0.408248290463863 + 0.408248290463863i,,1.11803398874990 - 0.670820393249937i,,-0.773020682523926 + 0.110431526074847i,,-0.773020682523926 + 0.110431526074847i,,-0.0439471502779217 - 0.000140703054058233i
-0.408248290463863 - 0.408248290463863i,,0.223606797749979 + 0.223606797749979i,,0.552157630374233 + 0.552157630374233i,,0.552157630374233 + 0.552157630374233i,,-0.0301360732350621 - 0.000522700814700101i
0.408248290463863 + 0.408248290463863i,,0.223606797749979 - 0.223606797749979i,,0.552157630374233 - 0.331294578224540i,,0.552157630374233 - 0.331294578224540i,,-0.0114272676780320 - 0.0176624587790549i
-0.408248290463863 - 0.408248290463863i,,-1.11803398874990 - 0.223606797749979i,,-0.110431526074847 - 0.773020682523926i,,-0.110431526074847 - 0.773020682523926i,,-4.70765866889223e-05 - 0.00975863929045433i
-0.408248290463863 - 0.408248290463863i,,-0.223606797749979 + 0.670820393249937i,,0.773020682523926 + 0.773020682523926i,,0.773020682523926 + 0.773020682523926i,,0.0303367675156553 + 0.00631624099065905i
1.22474487139159 - 0.408248290463863i,,0.223606797749979 + 1.11803398874990i,,-0.773020682523926 - 0.993883734673619i,,-0.773020682523926 - 0.993883734673619i,,0.0398888544649661 + 0.00281438002796403i
1.22474487139159 + 0.408248290463863i,,-0.670820393249937 - 0.670820393249937i,,-0.773020682523926 - 1.21474678682331i,,-0.773020682523926 - 1.21474678682331i,,0.0210351358086390 + 0.0150241773747560i
-0.408248290463863 + 0.408248290463863i,,1.11803398874990 + 0.223606797749979i,,1.21474678682331 + 0.110431526074847i,,1.21474678682331 + 0.110431526074847i,,0.0140074965513491 + 0.0244779371481728i
1.22474487139159 - 0.408248290463863i,,0.670820393249937 - 0.223606797749979i,,-0.552157630374233 + 0.993883734673619i,,-0.552157630374233 + 0.993883734673619i,,-0.00461836926340862 + 0.00936088888489799i
0.408248290463863 - 0.408248290463863i,,0.670820393249937 + 1.11803398874990i,,1.21474678682331 + 0.773020682523926i,,1.21474678682331 + 0.773020682523926i,,-0.0254142545850372 + 0.0108356350914619i
-0.408248290463863 + 0.408248290463863i,,0.670820393249937 + 0.670820393249937i,,-0.993883734673619 + 0.552157630374233i,,-0.993883734673619 + 0.552157630374233i,,-0.0106945533061662 + 0.00947338923309223i
0.408248290463863 - 0.408248290463863i,,0.223606797749979 + 1.11803398874990i,,0.993883734673619 + 0.773020682523926i,,0.993883734673619 + 0.773020682523926i,,-0.000892664112918166 - 0.00560985183140887i
0.408248290463863 - 0.408248290463863i,,-0.223606797749979 - 0.670820393249937i,,-0.110431526074847 + 0.552157630374233i,,-0.110431526074847 + 0.552157630374233i,,0.00862274641216840 + 0.00900941345014406i
1.22474487139159 + 0.408248290463863i,,0.670820393249937 + 0.670820393249937i,,0.552157630374233 + 0.773020682523926i,,0.552157630374233 + 0.773020682523926i,,0.0392260697056260 + 0.0157053567411077i
-0.408248290463863 + 0.408248290463863i,,-0.670820393249937 + 0.223606797749979i,,-0.331294578224540 + 0.773020682523926i,,-0.331294578224540 + 0.773020682523926i,,0.0346180199956854 + 0.00522916346874640i
-1.22474487139159 + 0.408248290463863i,,-0.670820393249937 + 1.11803398874990i,,1.21474678682331 + 0.331294578224540i,,1.21474678682331 + 0.331294578224540i,,0.0192656544563821 + 0.0208495050998311i
-1.22474487139159 - 0.408248290463863i,,-0.223606797749979 + 0.223606797749979i,,-0.773020682523926 - 0.552157630374233i,,-0.773020682523926 - 0.552157630374233i,,0.0248681581296848 + 0.00902915848922197i
-1.22474487139159 - 0.408248290463863i,,-1.11803398874990 - 0.670820393249937i,,0.773020682523926 - 1.21474678682331i,,0.773020682523926 - 1.21474678682331i,,-0.00539821248862963 - 0.0224419338054196i
1.22474487139159 + 0.408248290463863i,,-0.670820393249937 - 1.11803398874990i,,0.773020682523926 - 0.331294578224540i,,0.773020682523926 - 0.331294578224540i,,-0.0243678686904790 - 0.0123237666673220i
-1.22474487139159 - 0.408248290463863i,,-0.223606797749979 - 0.223606797749979i,,0.110431526074847 - 0.552157630374233i,,0.110431526074847 - 0.552157630374233i,,-0.00284954916589645 - 0.0229303731514214i
-1.22474487139159 + 0.408248290463863i,,1.11803398874990 + 0.670820393249937i,,0.331294578224540 + 0.110431526074847i,,0.331294578224540 + 0.110431526074847i,,-0.0202826416545828 - 0.0378688425092289i
0.408248290463863 + 0.408248290463863i,,-1.11803398874990 + 0.670820393249937i,,0.773020682523926 + 0.773020682523926i,,0.773020682523926 + 0.773020682523926i,,-0.0263770216247891 + 0.00236955446026912i
-0.408248290463863 + 0.408248290463863i,,-0.223606797749979 - 0.670820393249937i,,-1.21474678682331 - 0.773020682523926i,,-1.21474678682331 - 0.773020682523926i,,0.00222584371392536 + 0.00680436440625428i
-1.22474487139159 - 0.408248290463863i,,-0.670820393249937 - 0.223606797749979i,,-1.21474678682331 + 0.110431526074847i,,-1.21474678682331 + 0.110431526074847i,,-0.0239386354494157 - 0.0133144637878267i
-0.408248290463863 + 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,1.21474678682331 + 0.773020682523926i,,1.21474678682331 + 0.773020682523926i,,-0.0379897539290050 + 0.00691166686886298i
-0.408248290463863 - 0.408248290463863i,,-0.670820393249937 + 0.223606797749979i,,0.773020682523926 + 1.21474678682331i,,0.773020682523926 + 1.21474678682331i,,-0.00739027411338985 - 0.0215591067959367i
1.22474487139159 - 0.408248290463863i,,0.670820393249937 - 1.11803398874990i,,-0.331294578224540 + 0.552157630374233i,,-0.331294578224540 + 0.552157630374233i,,-0.0245804803531542 - 0.0676372773882346i
-1.22474487139159 - 0.408248290463863i,,0.223606797749979 + 0.223606797749979i,,-0.773020682523926 - 0.552157630374233i,,-0.773020682523926 - 0.552157630374233i,,-0.0235060568897088 - 0.0489252018061657i
-1.22474487139159 - 0.408248290463863i,,0.223606797749979 - 0.223606797749979i,,-0.773020682523926 - 0.552157630374233i,,-0.773020682523926 - 0.552157630374233i,,0.0206431236900018 - 0.0526506056379076i
-1.22474487139159 - 0.408248290463863i,,0.223606797749979 + 1.11803398874990i,,-0.331294578224540 + 1.21474678682331i,,-0.331294578224540 + 1.21474678682331i,,0.00814844379305953 - 0.0591642807019264i
0.408248290463863 + 0.408248290463863i,,1.11803398874990 - 0.223606797749979i,,-0.773020682523926 + 0.993883734673619i,,-0.773020682523926 + 0.993883734673619i,,-0.00110070238932476 - 0.00543129273474374i
1.22474487139159 - 0.408248290463863i,,-1.11803398874990 + 0.670820393249937i,,-0.993883734673619 - 0.773020682523926i,,-0.993883734673619 - 0.773020682523926i,,0.0234439683297603 + 0.0129433348685335i
-1.22474487139159 + 0.408248290463863i,,1.11803398874990 + 0.223606797749979i,,-0.552157630374233 - 0.331294578224540i,,-0.552157630374233 - 0.331294578224540i,,0.000843727615007487 + 0.00489166571366923i
-0.408248290463863 - 0.408248290463863i,,0.223606797749979 + 0.223606797749979i,,-0.331294578224540 - 0.993883734673619i,,-0.331294578224540 - 0.993883734673619i,,-0.0123796240831976 + 0.0324402575719154i
-1.22474487139159 - 0.408248290463863i,,-0.223606797749979 + 1.11803398874990i,,0.331294578224540 + 0.331294578224540i,,0.331294578224540 + 0.331294578224540i,,0.0140773655255191 + 0.0293573354824547i
1.22474487139159 - 0.408248290463863i,,-1.11803398874990 - 0.670820393249937i,,0.773020682523926 + 0.993883734673619i,,0.773020682523926 + 0.993883734673619i,,0.0104027422854075 + 0.00855168378462435i
-0.408248290463863 - 0.408248290463863i,,-0.670820393249937 - 1.11803398874990i,,1.21474678682331 - 0.331294578224540i,,1.21474678682331 - 0.331294578224540i,,0.00671654586108109 + 0.0230705937253659i
0.408248290463863 + 0.408248290463863i,,-0.670820393249937 + 0.670820393249937i,,0.331294578224540 + 0.552157630374233i,,0.331294578224540 + 0.552157630374233i,,0.0240469463027074 + 0.0259350784576177i
1.22474487139159 + 0.408248290463863i,,0.223606797749979 - 0.223606797749979i,,0.331294578224540 - 1.21474678682331i,,0.331294578224540 - 1.21474678682331i,,0.0178394662320761 + 0.0125431668121540i
0.408248290463863 + 0.408248290463863i,,1.11803398874990 + 0.670820393249937i,,0.331294578224540 - 1.21474678682331i,,0.331294578224540 - 1.21474678682331i,,0.00373149615204210 + 0.0130172364194900i
0.408248290463863 - 0.408248290463863i,,-0.670820393249937 - 1.11803398874990i,,0.993883734673619 + 0.773020682523926i,,0.993883734673619 + 0.773020682523926i,,0.00552427172801990 + 0.0104653305720330i
-1.22474487139159 - 0.408248290463863i,,0.670820393249937 + 1.11803398874990i,,0.331294578224540 - 0.993883734673619i,,0.331294578224540 - 0.993883734673619i,,0.0107949764343796 - 0.00370369619410745i
1.22474487139159 + 0.408248290463863i,,-0.670820393249937 - 1.11803398874990i,,-0.773020682523926 + 0.993883734673619i,,-0.773020682523926 + 0.993883734673619i,,0.00800789208715007 - 0.0142768327552008i
-0.408248290463863 - 0.408248290463863i,,-0.223606797749979 - 1.11803398874990i,,-0.773020682523926 - 1.21474678682331i,,-0.773020682523926 - 1.21474678682331i,,0.00637803499375493 - 0.00601723096918942i
1.22474487139159 + 0.408248290463863i,,-0.223606797749979 - 1.11803398874990i,,0.552157630374233 + 0.552157630374233i,,0.552157630374233 + 0.552157630374233i,,0.0172891048628328 - 0.00148911186831125i
0.408248290463863 + 0.408248290463863i,,-0.670820393249937 - 1.11803398874990i,,-0.110431526074847 - 1.21474678682331i,,-0.110431526074847 - 1.21474678682331i,,0.00606290554524400 - 0.0132930464304122i
-1.22474487139159 + 0.408248290463863i,,0.223606797749979 - 0.223606797749979i,,-0.110431526074847 + 0.552157630374233i,,-0.110431526074847 + 0.552157630374233i,,-0.0185219420752082 - 1.95837350966972e-05i
-0.408248290463863 + 0.408248290463863i,,-0.670820393249937 - 0.670820393249937i,,-0.552157630374233 + 0.552157630374233i,,-0.552157630374233 + 0.552157630374233i,,-0.00793961194635183 + 0.00916403971722483i
-1.22474487139159 - 0.408248290463863i,,1.11803398874990 + 0.670820393249937i,,0.773020682523926 + 1.21474678682331i,,0.773020682523926 + 1.21474678682331i,,-0.0118509727559914 - 0.0122321616083034i
1.22474487139159 + 0.408248290463863i,,-0.670820393249937 + 0.223606797749979i,,0.331294578224540 - 0.773020682523926i,,0.331294578224540 - 0.773020682523926i,,-0.0297279857386939 + 0.00653663382000407i
-0.408248290463863 + 0.408248290463863i,,-1.11803398874990 + 0.223606797749979i,,-0.993883734673619 - 0.331294578224540i,,-0.993883734673619 - 0.331294578224540i,,0.00156672615421307 + 0.0283885170265725i
1.22474487139159 + 0.408248290463863i,,1.11803398874990 + 0.223606797749979i,,0.773020682523926 + 0.552157630374233i,,0.773020682523926 + 0.552157630374233i,,0.00834814607342928 + 0.00616050313914123i
1.22474487139159 - 0.408248290463863i,,-1.11803398874990 - 0.223606797749979i,,-0.110431526074847 - 1.21474678682331i,,-0.110431526074847 - 1.21474678682331i,,-0.0157974500166874 + 0.0214264089073896i
0.408248290463863 + 0.408248290463863i,,0.670820393249937 - 0.223606797749979i,,-0.552157630374233 + 0.110431526074847i,,-0.552157630374233 + 0.110431526074847i,,0.0106573443962263 + 0.0297106193984580i
-1.22474487139159 + 0.408248290463863i,,-1.11803398874990 - 0.670820393249937i,,0.110431526074847 - 0.552157630374233i,,0.110431526074847 - 0.552157630374233i,,0.0122577739212735 - 0.0178671806974995i
-0.408248290463863 - 0.408248290463863i,,0.223606797749979 + 0.223606797749979i,,-0.993883734673619 + 0.773020682523926i,,-0.993883734673619 + 0.773020682523926i,,-0.0120208524483371 - 0.0199746575337421i
-0.408248290463863 - 0.408248290463863i,,-0.223606797749979 + 1.11803398874990i,,-1.21474678682331 - 0.110431526074847i,,-1.21474678682331 - 0.110431526074847i,,0.0223556104940665 - 0.0149700187314395i
1.22474487139159 + 0.408248290463863i,,-0.670820393249937 - 0.670820393249937i,,-0.552157630374233 - 0.773020682523926i,,-0.552157630374233 - 0.773020682523926i,,0.0292702234740390 - 0.0478765624120513i
-0.408248290463863 + 0.408248290463863i,,-0.670820393249937 + 0.670820393249937i,,0.552157630374233 - 0.110431526074847i,,0.552157630374233 - 0.110431526074847i,,0.00360352831857355 - 0.0249075021748858i
-1.22474487139159 + 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,0.552157630374233 - 1.21474678682331i,,0.552157630374233 - 1.21474678682331i,,0.0206419539286789 + 0.00123259506811515i
-0.408248290463863 + 0.408248290463863i,,-0.670820393249937 + 1.11803398874990i,,0.993883734673619 + 0.110431526074847i,,0.993883734673619 + 0.110431526074847i,,0.00341568468509150 - 0.0142080616647805i
-1.22474487139159 + 0.408248290463863i,,-0.223606797749979 - 0.223606797749979i,,-1.21474678682331 + 0.110431526074847i,,-1.21474678682331 + 0.110431526074847i,,-0.0325599139306428 + 0.00905936969850105i
-1.22474487139159 - 0.408248290463863i,,0.223606797749979 - 0.223606797749979i,,0.552157630374233 + 0.773020682523926i,,0.552157630374233 + 0.773020682523926i,,-0.0188278511352045 + 0.0209640696494358i
-0.408248290463863 + 0.408248290463863i,,-0.223606797749979 + 1.11803398874990i,,-0.993883734673619 + 0.552157630374233i,,-0.993883734673619 + 0.552157630374233i,,-0.0222290085765742 + 0.00262190636370553i
-0.408248290463863 - 0.408248290463863i,,0.670820393249937 - 0.670820393249937i,,0.110431526074847 - 0.552157630374233i,,0.110431526074847 - 0.552157630374233i,,-0.0227480929120137 + 0.0197698061346825i
-0.408248290463863 + 0.408248290463863i,,-0.223606797749979 - 0.223606797749979i,,0.552157630374233 - 1.21474678682331i,,0.552157630374233 - 1.21474678682331i,,0.00865879938902492 + 0.0195366363272920i
0.408248290463863 + 0.408248290463863i,,-1.11803398874990 - 0.670820393249937i,,1.21474678682331 + 0.331294578224540i,,1.21474678682331 + 0.331294578224540i,,0.00708468240221754 + 0.00333458618463199i
-1.22474487139159 + 0.408248290463863i,,-0.670820393249937 - 0.223606797749979i,,-1.21474678682331 - 0.110431526074847i,,-1.21474678682331 - 0.110431526074847i,,0.00741397587940157 + 0.00902853682685190i
-0.408248290463863 + 0.408248290463863i,,0.223606797749979 + 0.670820393249937i,,1.21474678682331 + 0.773020682523926i,,1.21474678682331 + 0.773020682523926i,,0.0157172549624973 - 0.0141269784556333i
-1.22474487139159 + 0.408248290463863i,,-0.223606797749979 - 0.670820393249937i,,-0.552157630374233 + 0.993883734673619i,,-0.552157630374233 + 0.993883734673619i,,-0.00498236005209245 - 0.0272808318321942i
-0.408248290463863 - 0.408248290463863i,,0.223606797749979 + 0.670820393249937i,,0.552157630374233 - 0.331294578224540i,,0.552157630374233 - 0.331294578224540i,,0.00593926385052895 - 0.0135204892352286i
1.22474487139159 - 0.408248290463863i,,-1.11803398874990 + 0.223606797749979i,,-0.552157630374233 + 0.110431526074847i,,-0.552157630374233 + 0.110431526074847i,,0.0187292772616370 - 0.0238445319509095i
-0.408248290463863 - 0.408248290463863i,,0.670820393249937 - 0.670820393249937i,,0.552157630374233 - 1.21474678682331i,,0.552157630374233 - 1.21474678682331i,,0.00342105515066497 + 0.00148911534861809i
-1.22474487139159 + 0.408248290463863i,,0.670820393249937 + 0.670820393249937i,,-0.773020682523926 + 0.773020682523926i,,-0.773020682523926 + 0.773020682523926i,,0.0270962462754637 + 0.0349733665801218i
-0.408248290463863 + 0.408248290463863i,,0.670820393249937 + 1.11803398874990i,,-0.331294578224540 + 0.993883734673619i,,-0.331294578224540 + 0.993883734673619i,,0.0217287908601783 + 0.0134902576064580i
0.408248290463863 - 0.408248290463863i,,1.11803398874990 + 0.670820393249937i,,0.773020682523926 + 1.21474678682331i,,0.773020682523926 + 1.21474678682331i,,-0.0208652566391715 + 0.0239404259112929i
1.22474487139159 + 0.408248290463863i,,0.223606797749979 + 0.670820393249937i,,0.773020682523926 + 1.21474678682331i,,0.773020682523926 + 1.21474678682331i,,-0.00590245840830185 + 0.0226109405215502i
0.408248290463863 + 0.408248290463863i,,0.670820393249937 - 1.11803398874990i,,-0.993883734673619 - 0.552157630374233i,,-0.993883734673619 - 0.552157630374233i,,-0.0195825746534559 - 0.0353175570308586i
0.408248290463863 + 0.408248290463863i,,-0.223606797749979 + 0.223606797749979i,,-0.552157630374233 - 0.110431526074847i,,-0.552157630374233 - 0.110431526074847i,,-0.0512536884735662 - 0.0251511364747916i
1.22474487139159 + 0.408248290463863i,,0.670820393249937 - 1.11803398874990i,,0.552157630374233 - 0.552157630374233i,,0.552157630374233 - 0.552157630374233i,,-0.000489491359524612 - 0.0110872252777542i
-0.408248290463863 - 0.408248290463863i,,0.223606797749979 - 0.223606797749979i,,1.21474678682331 - 0.331294578224540i,,1.21474678682331 - 0.331294578224540i,,0.0102543218319150 - 0.0459483439082692i
-0.408248290463863 - 0.408248290463863i,,1.11803398874990 - 0.670820393249937i,,0.110431526074847 - 0.773020682523926i,,0.110431526074847 - 0.773020682523926i,,-0.00841331211832282 - 0.00319361381195903i
-0.408248290463863 + 0.408248290463863i,,-0.670820393249937 - 0.223606797749979i,,-0.993883734673619 + 0.331294578224540i,,-0.993883734673619 + 0.331294578224540i,,0.0456995401839524 + 0.0243930916411764i
0.408248290463863 - 0.408248290463863i,,-0.223606797749979 + 0.670820393249937i,,0.552157630374233 + 0.331294578224540i,,0.552157630374233 + 0.331294578224540i,,0.0381457853056154 - 0.0155413110649185i
-0.408248290463863 + 0.408248290463863i,,-0.223606797749979 - 1.11803398874990i,,-0.331294578224540 + 0.552157630374233i,,-0.331294578224540 + 0.552157630374233i,,-0.00278892078222062 + 0.0196874795710317i
-0.408248290463863 + 0.408248290463863i,,0.670820393249937 + 1.11803398874990i,,0.331294578224540 - 0.993883734673619i,,0.331294578224540 - 0.993883734673619i,,0.0366545305470787 + 0.0372434605527818i
-1.22474487139159 - 0.408248290463863i,,0.670820393249937 + 0.670820393249937i,,-1.21474678682331 + 0.331294578224540i,,-1.21474678682331 + 0.331294578224540i,,0.0213998371300248 - 0.00695503414880015i
-0.408248290463863 - 0.408248290463863i,,-1.11803398874990 - 0.670820393249937i,,-0.110431526074847 - 1.21474678682331i,,-0.110431526074847 - 1.21474678682331i,,-0.0156056964453146 + 0.0286685599623167i
